# base	fc544d3b57f27f1422969fca0002cb2bff30ab17
# hardened	377c16e8de65d1b5885c4aa26e404f37b90aa2ca
# upstream	e40c72c823c6502906d4024933f0c119b5ca17cf
# target	ce3522c767bbffddaa71e7e8430e79140e4c554d
# Equality compares complete Git entries, including file mode.
# matches-base means the retained file delta is absent verbatim;
# diverged requires review. Neither is a semantic security verdict.
status	path	upstream	target
A	.github/FUNDING.yml	matches-base	matches-base
M	.gitignore	matches-base	diverged
M	COPYRIGHT	matches-base	matches-base
M	Makefile	matches-base	diverged
M	Makefile.inc1	matches-base	diverged
M	Makefile.libcompat	matches-base	diverged
M	ObsoleteFiles.inc	matches-base	diverged
M	README.md	matches-base	diverged
A	UPDATING-HardenedBSD	matches-base	matches-base
M	bin/setfacl/setfacl.c	matches-base	matches-base
M	bin/sh/Makefile	matches-base	matches-base
M	bin/uuidgen/uuidgen.1	matches-base	matches-base
M	bin/uuidgen/uuidgen.c	matches-base	matches-base
M	cddl/lib/libzfs/Makefile	matches-base	diverged
M	cddl/sbin/zpool/Makefile	matches-base	matches-base
M	contrib/file/src/compress.c	matches-base	diverged
A	contrib/hardenedbsd/liblattzfs/Makefile	matches-base	matches-base
A	contrib/hardenedbsd/liblattzfs/README.md	matches-base	matches-base
A	contrib/hardenedbsd/liblattzfs/include/liblattzfs.h	matches-base	matches-base
A	contrib/hardenedbsd/liblattzfs/obj/.gitignore	matches-base	matches-base
A	contrib/hardenedbsd/liblattzfs/poc/Makefile	matches-base	matches-base
A	contrib/hardenedbsd/liblattzfs/poc/obj/.gitignore	matches-base	matches-base
A	contrib/hardenedbsd/liblattzfs/poc/poc.c	matches-base	matches-base
A	contrib/hardenedbsd/liblattzfs/src/liblattzfs.c	matches-base	matches-base
M	contrib/jemalloc/src/pages.c	matches-base	matches-base
M	contrib/less/command.c	matches-base	diverged
M	contrib/less/filename.c	matches-base	diverged
M	contrib/llvm-project/clang/include/clang/Driver/ToolChain.h	matches-base	matches-base
M	contrib/llvm-project/clang/lib/Driver/SanitizerArgs.cpp	matches-base	matches-base
M	contrib/llvm-project/compiler-rt/lib/cfi/cfi.cpp	matches-base	matches-base
M	contrib/llvm-project/compiler-rt/lib/sanitizer_common/sanitizer_linux.cpp	matches-base	matches-base
M	contrib/llvm-project/llvm/lib/MC/MCELFStreamer.cpp	matches-base	matches-base
M	contrib/llvm-project/llvm/lib/ObjCopy/ELF/ELFObject.cpp	matches-base	matches-base
M	contrib/telnet/telnet/commands.c	matches-base	matches-base
M	crypto/openssh/ssh_config	matches-base	matches-base
M	crypto/openssh/sshd_config	matches-base	diverged
M	etc/master.passwd	matches-base	diverged
A	etc/mtree/BSD.hardened.dist	matches-base	matches-base
M	etc/mtree/BSD.root.dist	matches-base	diverged
M	etc/mtree/BSD.usr.dist	matches-base	diverged
M	etc/mtree/Makefile	matches-base	matches-base
A	etc/newsyslog.conf.d/pkg.conf	matches-base	matches-base
M	include/db.h	matches-base	matches-base
M	kerberos5/libexec/digest-service/Makefile	matches-base	matches-base
M	kerberos5/libexec/hprop/Makefile	matches-base	matches-base
M	kerberos5/libexec/hpropd/Makefile	matches-base	matches-base
M	kerberos5/libexec/ipropd-master/Makefile	matches-base	matches-base
M	kerberos5/libexec/ipropd-slave/Makefile	matches-base	matches-base
M	kerberos5/libexec/kadmind/Makefile	matches-base	matches-base
M	kerberos5/libexec/kcm/Makefile	matches-base	matches-base
M	kerberos5/libexec/kdc/Makefile	matches-base	matches-base
M	kerberos5/libexec/kdigest/Makefile	matches-base	matches-base
M	kerberos5/libexec/kfd/Makefile	matches-base	matches-base
M	kerberos5/libexec/kimpersonate/Makefile	matches-base	matches-base
M	kerberos5/libexec/kpasswdd/Makefile	matches-base	matches-base
M	kerberos5/tools/asn1_compile/Makefile	matches-base	matches-base
M	kerberos5/tools/slc/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/hxtool/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/kadmin/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/kcc/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/kdestroy/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/kf/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/kgetcred/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/kinit/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/kpasswd/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/ksu/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/string2key/Makefile	matches-base	matches-base
M	kerberos5/usr.bin/verify_krb5_conf/Makefile	matches-base	matches-base
M	kerberos5/usr.sbin/iprop-log/Makefile	matches-base	matches-base
M	kerberos5/usr.sbin/kstash/Makefile	matches-base	matches-base
M	kerberos5/usr.sbin/ktutil/Makefile	matches-base	matches-base
M	lib/Makefile	matches-base	diverged
M	lib/clang/Makefile.inc	matches-base	matches-base
M	lib/clang/libclang/Makefile	matches-base	matches-base
M	lib/clang/liblldb/LLDBWrapLua.cpp	matches-base	matches-base
M	lib/clang/liblldb/Makefile	matches-base	matches-base
M	lib/clang/libllvm/Makefile	matches-base	diverged
M	lib/clang/llvm.build.mk	matches-base	diverged
M	lib/csu/Makefile.inc	matches-base	matches-base
M	lib/csu/aarch64/Makefile	matches-base	matches-base
M	lib/csu/amd64/Makefile	matches-base	matches-base
M	lib/csu/arm/Makefile	matches-base	matches-base
M	lib/csu/arm/crt1_c.c	matches-base	matches-base
M	lib/csu/i386/Makefile	matches-base	matches-base
M	lib/csu/i386/crt1_c.c	matches-base	matches-base
A	lib/csu/i386/reloc.c	matches-base	matches-base
M	lib/csu/powerpc/Makefile	matches-base	matches-base
M	lib/csu/powerpc/crt1_c.c	matches-base	matches-base
M	lib/csu/powerpc64/Makefile	matches-base	matches-base
M	lib/csu/powerpc64/crt1_c.c	matches-base	matches-base
A	lib/csu/powerpc64/reloc.c	matches-base	matches-base
M	lib/csu/riscv/Makefile	matches-base	matches-base
M	lib/googletest/tests/gmock_main/Makefile	matches-base	matches-base
M	lib/libarchive/tests/Makefile	matches-base	diverged
M	lib/libbe/be.c	matches-base	matches-base
M	lib/libc/csu/Makefile.inc	matches-base	matches-base
M	lib/libc/csu/aarch64/Makefile.inc	matches-base	matches-base
M	lib/libc/csu/amd64/Makefile.inc	matches-base	matches-base
M	lib/libc/db/Symbol.map	matches-base	matches-base
M	lib/libc/db/db/db.c	matches-base	matches-base
M	lib/libc/gen/Symbol.map	matches-base	diverged
M	lib/libc/gen/arc4random.c	matches-base	matches-base
M	lib/libc/gen/dlfcn.c	matches-base	matches-base
M	lib/libc/gen/elf_utils.c	matches-base	matches-base
M	lib/libc/gen/posix_spawn.c	matches-base	diverged
